year,exporter,exporter_iso3,importer,importer_iso3,trade_value_usd
2018,France,FRA,Afghanistan,AFG,46903.093
2018,France,FRA,Albania,ALB,965835.457
2018,France,FRA,Algeria,DZA,28598898.851
2018,France,FRA,Andorra,AND,17992151.772
2018,France,FRA,Angola,AGO,345397.289
2018,France,FRA,Azerbaijan,AZE,6216839.408
2018,France,FRA,Argentina,ARG,25482548.387
2018,France,FRA,Australia,AUS,110042158.599
2018,France,FRA,Austria,AUT,39299261.966
2018,France,FRA,Bahamas,BHS,27855.096
2018,France,FRA,Bahrain,BHR,6050885.157
2018,France,FRA,Bangladesh,BGD,1036422.173
2018,France,FRA,Armenia,ARM,1339021.704
2018,France,FRA,Barbados,BRB,27615.343
2018,France,FRA,Belgium,BEL,226341400.931
2018,France,FRA,Bermuda,BMU,147127.111
2018,France,FRA,Bhutan,BTN,68167.922
2018,France,FRA,Bolivia (Plurinational State of),BOL,734158.06
2018,France,FRA,Bosnia Herzegovina,BIH,549621.147
2018,France,FRA,Botswana,BWA,3241.986
2018,France,FRA,Brazil,BRA,63693586.087
2018,France,FRA,Br. Virgin Isds,VGB,197.236
2018,France,FRA,Brunei Darussalam,BRN,18618.094
2018,France,FRA,Bulgaria,BGR,18516392.125
2018,France,FRA,Myanmar,MMR,659359.715
2018,France,FRA,Belarus,BLR,4058804.647
2018,France,FRA,Cambodia,KHM,1454502.543
2018,France,FRA,Cameroon,CMR,2752866.554
2018,France,FRA,Canada,CAN,172966623.963
2018,France,FRA,Cabo Verde,CPV,894.056
2018,France,FRA,Cayman Isds,CYM,164653.913
2018,France,FRA,Central African Rep.,CAF,54154.748
2018,France,FRA,Sri Lanka,LKA,238709.377
2018,France,FRA,Chad,TCD,186111.254
2018,France,FRA,Chile,CHL,25621560.495
2018,France,FRA,China,CHN,872421807.067
2018,France,FRA,Colombia,COL,16236221.3
2018,France,FRA,Comoros,COM,49908.868
2018,France,FRA,Congo,COG,1857074.529
2018,France,FRA,Dem. Rep. of the Congo,COD,315490.707
2018,France,FRA,Costa Rica,CRI,1473319.054
2018,France,FRA,Croatia,HRV,29438758.646
2018,France,FRA,Cuba,CUB,20381.403
2018,France,FRA,Cyprus,CYP,9447141.25
2018,France,FRA,Czechia,CZE,69613520.994
2018,France,FRA,Benin,BEN,1746484.423
2018,France,FRA,Denmark,DNK,74490361.968
2018,France,FRA,Dominican Rep.,DOM,2323484.703
2018,France,FRA,Ecuador,ECU,4200797.728
2018,France,FRA,El Salvador,SLV,1083641.787
2018,France,FRA,Equatorial Guinea,GNQ,142063.944
2018,France,FRA,Ethiopia,ETH,694049.556
2018,France,FRA,Estonia,EST,10116211.569
2018,France,FRA,Faroe Isds,FRO,49665.572
2018,France,FRA,Fiji,FJI,45641.73
2018,France,FRA,Finland,FIN,26449823.546
2018,France,FRA,French Polynesia,PYF,3647633.426
2018,France,FRA,Djibouti,DJI,883816.164
2018,France,FRA,Gabon,GAB,2511238.799
2018,France,FRA,Georgia,GEO,7495203.494
2018,France,FRA,Gambia,GMB,60989.492
2018,France,FRA,State of Palestine,PSE,387465.158
2018,France,FRA,Germany,DEU,810532587.549
2018,France,FRA,Ghana,GHA,1616888.838
2018,France,FRA,Gibraltar,GIB,1041501.874
2018,France,FRA,Greece,GRC,73947524.78
2018,France,FRA,Grenada,GRD,126291.003
2018,France,FRA,Guam,GUM,124485.175
2018,France,FRA,Guatemala,GTM,1678659.005
2018,France,FRA,Guinea,GIN,1341525.532
2018,France,FRA,Haiti,HTI,549253.84
2018,France,FRA,Holy See (Vatican City State),VAT,328877.924
2018,France,FRA,Honduras,HND,855741.392
2018,France,FRA,"China, Hong Kong SAR",HKG,333950785.058
2018,France,FRA,Hungary,HUN,11191616.704
2018,France,FRA,Iceland,ISL,3314102.16
2018,France,FRA,Indonesia,IDN,5675276.574
2018,France,FRA,Iran,IRN,36600693.068
2018,France,FRA,Iraq,IRQ,7059309.326
2018,France,FRA,Ireland,IRL,25532196.243
2018,France,FRA,Israel,ISR,50402883.258
2018,France,FRA,Italy,ITA,649188124.296
2018,France,FRA,Côte d'Ivoire,CIV,5335890.836
2018,France,FRA,Jamaica,JAM,11.811
2018,France,FRA,Japan,JPN,224811021.742
2018,France,FRA,Kazakhstan,KAZ,12670303.636
2018,France,FRA,Jordan,JOR,12276826.927
2018,France,FRA,Kenya,KEN,865819.304
2018,France,FRA,Rep. of Korea,KOR,280165023.476
2018,France,FRA,Kuwait,KWT,21766737.59
2018,France,FRA,Kyrgyzstan,KGZ,438583.423
2018,France,FRA,Lao People's Dem. Rep.,LAO,1797.56
2018,France,FRA,Lebanon,LBN,33806350.352
2018,France,FRA,Latvia,LVA,4555851.293
2018,France,FRA,Liberia,LBR,29356.213
2018,France,FRA,Libya,LBY,3917522.559
2018,France,FRA,Lithuania,LTU,17444999.022
2018,France,FRA,Luxembourg,LUX,14679449.157
2018,France,FRA,"China, Macao SAR",MAC,1599632.497
2018,France,FRA,Madagascar,MDG,2396129.991
2018,France,FRA,Malaysia,MYS,15265707.699
2018,France,FRA,Maldives,MDV,2870215.817
2018,France,FRA,Mali,MLI,1123733.756
2018,France,FRA,Malta,MLT,5827346.385
2018,France,FRA,Mauritania,MRT,703355.06
2018,France,FRA,Mauritius,MUS,11377368.919
2018,France,FRA,Mexico,MEX,98303645.433
2018,France,FRA,"Other Asia, nes",S19,89444899.247
2018,France,FRA,Mongolia,MNG,1577030.717
2018,France,FRA,Rep. of Moldova,MDA,1137599.299
2018,France,FRA,Montenegro,MNE,88369.806
2018,France,FRA,Morocco,MAR,42451386.476
2018,France,FRA,Mozambique,MOZ,2267.619
2018,France,FRA,Oman,OMN,5106132.648
2018,France,FRA,Namibia,NAM,4937.976
2018,France,FRA,Nepal,NPL,20765.245
2018,France,FRA,Netherlands,NLD,98264612.867
2018,France,FRA,Curaçao,CUW,1499440.367
2018,France,FRA,Aruba,ABW,356337.368
2018,France,FRA,Saint Maarten,SXM,641395.924
2018,France,FRA,New Caledonia,NCL,6654790.968
2018,France,FRA,Vanuatu,VUT,21705.362
2018,France,FRA,New Zealand,NZL,5979031.173
2018,France,FRA,Nicaragua,NIC,304419.531
2018,France,FRA,Niger,NER,148414.457
2018,France,FRA,Nigeria,NGA,8738886.008
2018,France,FRA,"Other Africa, nes",F19,18790.527
2018,France,FRA,Norway,NOR,22094397.85
2018,France,FRA,Pakistan,PAK,900628.43
2018,France,FRA,Panama,PAN,21676300.944
2018,France,FRA,Papua New Guinea,PNG,505.49
2018,France,FRA,Paraguay,PRY,2682277.476
2018,France,FRA,Peru,PER,5760835.478
2018,France,FRA,Philippines,PHL,2558183.229
2018,France,FRA,Poland,POL,161335662.058
2018,France,FRA,Portugal,PRT,71204768.026
