country,query_id,category,type,keyword,avg_score,peak_score,recent_mean,prior_mean,momentum_3m,momentum_6m,growth_yoy,trend_label,latest_date
AU,brands_tier1,brands,brand,Laneige,19.43,33.0,23.46,16.85,0.393,0.087,-0.006,rising,2025-12-28
AU,brands_tier1,brands,brand,La Roche-Posay,8.5,19.0,14.15,11.0,0.287,0.521,0.576,rising,2025-12-28
AU,brands_tier2,brands,brand,Torriden,3.37,8.0,5.23,4.08,0.283,0.344,0.496,rising,2025-12-28
AU,brands_tier2,brands,brand,COSRX,10.74,15.0,12.46,10.31,0.209,0.184,-0.039,rising,2025-12-28
AU,brands_tier2,brands,brand,Anua,15.57,26.0,18.77,16.31,0.151,0.081,0.19,stable,2025-12-28
AU,brands_tier2,brands,brand,The Ordinary,57.43,85.0,67.77,59.92,0.131,0.123,0.108,stable,2025-12-28
AU,brands_tier1,brands,brand,Neutrogena,22.58,34.0,27.38,24.23,0.13,0.173,0.125,stable,2025-12-28
AU,brands_tier1,brands,brand,Cetaphil,26.51,36.0,30.85,28.23,0.093,0.124,0.111,stable,2025-12-28
AU,brands_tier1,brands,brand,CeraVe,52.39,100.0,61.38,58.31,0.053,0.227,0.079,stable,2025-12-28
AU,brands_tier2,brands,brand,CeraVe,52.39,100.0,61.38,58.31,0.053,0.227,0.079,stable,2025-12-28
AU,cleanser_subcategories,cleanser_oil_control,subcategory,salicylic acid cleanser,20.26,33.0,25.92,21.08,0.23,0.212,0.121,rising,2025-12-28
AU,cleanser_baseline,cleanser_oil_control,baseline,face wash,70.43,100.0,87.54,75.0,0.167,0.143,0.18,stable,2025-12-28
AU,cleanser_subcategories,cleanser_oil_control,subcategory,micellar water,66.38,100.0,79.08,69.54,0.137,0.12,0.126,stable,2025-12-28
AU,cleanser_subcategories,cleanser_oil_control,subcategory,oil control cleanser,0.32,9.0,0.62,0.62,0.0,,-0.111,stable,2025-12-28
AU,cleanser_subcategories,cleanser_oil_control,subcategory,double cleansing,0.7,11.0,0.0,0.62,-1.0,0.0,-0.66,declining,2025-12-28
AU,moisturizer_subcategories,moisturizer_hydration,subcategory,hydrating serum,31.9,62.0,43.69,35.85,0.219,0.184,0.343,rising,2025-12-28
AU,moisturizer_baseline,moisturizer_hydration,baseline,moisturizer,62.1,100.0,77.38,68.0,0.138,0.205,0.155,stable,2025-12-28
AU,moisturizer_subcategories,moisturizer_hydration,subcategory,barrier cream,63.94,100.0,80.92,77.38,0.046,0.209,0.297,stable,2025-12-28
AU,moisturizer_subcategories,moisturizer_hydration,subcategory,ceramide moisturizer,1.33,20.0,8.92,0.0,,,3.833,insufficient data,2025-12-28
AU,moisturizer_subcategories,moisturizer_hydration,subcategory,skin flooding,0.25,13.0,1.0,0.0,,0.0,,insufficient data,2025-12-28
AU,sunscreen_baseline,sunscreen_spf,baseline,sunscreen,49.56,100.0,75.85,51.92,0.461,0.458,0.193,rising,2025-12-28
AU,sunscreen_subcategories,sunscreen_spf,subcategory,mineral sunscreen,38.24,91.0,62.62,48.0,0.304,0.563,0.439,rising,2025-12-28
AU,sunscreen_subcategories,sunscreen_spf,subcategory,tinted sunscreen,51.09,100.0,73.54,60.0,0.226,0.201,0.485,rising,2025-12-28
AU,sunscreen_subcategories,sunscreen_spf,subcategory,reef safe sunscreen,4.57,19.0,10.08,8.38,0.202,2.288,0.874,rising,2025-12-28
AU,sunscreen_subcategories,sunscreen_spf,subcategory,SPF moisturizer,10.74,27.0,15.92,13.46,0.183,0.516,0.315,stable,2025-12-28
DE,brands_tier1,brands,brand,Laneige,12.94,23.0,17.0,9.23,0.842,0.046,-0.013,rising,2025-12-28
DE,brands_tier1,brands,brand,La Roche-Posay,12.38,38.0,24.69,14.38,0.717,0.38,1.106,rising,2025-12-28
DE,brands_tier2,brands,brand,Torriden,1.47,4.0,2.85,1.69,0.682,0.283,1.234,rising,2025-12-28
DE,brands_tier2,brands,brand,Anua,11.66,21.0,17.23,10.77,0.6,0.096,0.357,rising,2025-12-28
DE,brands_tier2,brands,brand,COSRX,10.23,24.0,15.62,10.15,0.538,0.324,0.238,rising,2025-12-28
DE,brands_tier2,brands,brand,The Ordinary,49.67,86.0,65.08,46.15,0.41,0.125,0.131,rising,2025-12-28
DE,brands_tier1,brands,brand,Neutrogena,28.6,53.0,35.0,25.62,0.366,-0.005,0.13,rising,2025-12-28
DE,brands_tier1,brands,brand,Cetaphil,20.61,29.0,22.69,16.69,0.359,-0.132,0.053,rising,2025-12-28
DE,brands_tier1,brands,brand,CeraVe,55.93,100.0,74.85,55.46,0.35,0.164,0.18,rising,2025-12-28
DE,brands_tier2,brands,brand,CeraVe,55.93,100.0,74.85,55.46,0.35,0.164,0.18,rising,2025-12-28
DE,cleanser_subcategories,cleanser_oil_control,subcategory,salicylic acid cleanser,5.26,37.0,17.08,1.92,7.88,1.205,1.063,rising,2025-12-28
DE,cleanser_subcategories,cleanser_oil_control,subcategory,micellar water,16.21,55.0,27.31,9.08,2.008,0.022,0.243,rising,2025-12-28
DE,cleanser_baseline,cleanser_oil_control,baseline,face wash,29.82,100.0,63.77,22.62,1.82,0.513,0.496,rising,2025-12-28
