date,country,category,type,query_id,keyword,score
2023-12-31,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,52
2024-01-07,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,56
2024-01-14,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,63
2024-01-21,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,100
2024-01-28,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,44
2024-02-04,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,39
2024-02-11,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,64
2024-02-18,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,43
2024-02-25,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,60
2024-03-03,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,56
2024-03-10,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,49
2024-03-17,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,44
2024-03-24,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,66
2024-03-31,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,38
2024-04-07,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,54
2024-04-14,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,55
2024-04-21,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,38
2024-04-28,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,59
2024-05-05,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,46
2024-05-12,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,58
2024-05-19,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,52
2024-05-26,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,59
2024-06-02,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,59
2024-06-09,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,48
2024-06-16,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,52
2024-06-23,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,30
2024-06-30,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,58
2024-07-07,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,52
2024-07-14,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,35
2024-07-21,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,74
2024-07-28,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,74
