year,code,trade_value_usd,net_weight_kg,country,iso3,iso_numeric,region
2018,4,368.6,75.0,Afghanistan,AFG,4.0,Asia
2018,8,232454.257,7475.39,Albania,ALB,8.0,Europe
2018,20,969657.135,14500.293,Andorra,AND,20.0,Europe
2018,24,175498.322,229488.908,Angola,AGO,24.0,Africa
2018,28,5536.294,253.86,Antigua and Barbuda,ATG,28.0,North America
2018,31,84004.69,18263.43,Azerbaijan,AZE,31.0,Asia
2018,32,41873307.27,2520239.1,Argentina,ARG,32.0,Latin America
2018,36,451826085.016,18695498.127,Australia,AUS,36.0,Oceania
2018,40,194781861.796,5607343.52,Austria,AUT,40.0,Europe
2018,44,30494.74,3123.888,Bahamas,BHS,44.0,North America
2018,48,1205855.022,312167.43,Bahrain,BHR,48.0,Asia
2018,50,114974.144,20151.0,Bangladesh,BGD,50.0,South Asia
2018,51,577566.52,94220.196,Armenia,ARM,51.0,Asia
2018,52,1505477.0,,Barbados,BRB,52.0,North America
2018,56,1213329996.574,36339729.841,Belgium,BEL,56.0,Europe
2018,60,524.05,39.0,Bermuda,BMU,60.0,North America
2018,68,83681.98,2554.12,Bolivia (Plurinational State of),BOL,68.0,Latin America
2018,70,1199988.84,90212.25,Bosnia Herzegovina,BIH,70.0,Europe
2018,72,133286.13,22541.27,Botswana,BWA,72.0,Africa
2018,76,92294668.0,5237793.021,Brazil,BRA,76.0,Latin America
2018,84,136367.305,24161.982,Belize,BLZ,84.0,North America
2018,96,49653.769,4151.25,Brunei Darussalam,BRN,96.0,Asia
2018,100,53580810.658,5324379.883,Bulgaria,BGR,100.0,Europe
2018,104,1687031.188,394856.107,Myanmar,MMR,104.0,SE Asia
2018,108,18140.956,21864.0,Burundi,BDI,108.0,Africa
2018,112,56810800.0,5383846.492,Belarus,BLR,112.0,Europe
2018,116,20948.61,880.01,Cambodia,KHM,116.0,SE Asia
2018,120,5631112.338,1676605.0,Cameroon,CMR,120.0,Africa
2018,124,1305367679.573,42434877.263,Canada,CAN,124.0,North America
2018,152,35316666.055,0.0,Chile,CHL,152.0,Latin America
2018,156,2467889213.0,0.0,China,CHN,156.0,East Asia
2018,170,174842604.28,20886719.44,Colombia,COL,170.0,Latin America
2018,174,6076.578,5010.0,Comoros,COM,174.0,Africa
2018,178,215913.701,2450.03,Congo,COG,178.0,Africa
2018,180,1666730.42,3877116.0,Dem. Rep. of the Congo,COD,180.0,Africa
2018,188,2372617.1,237132.739,Costa Rica,CRI,188.0,North America
2018,191,89506849.0,3562967.689,Croatia,HRV,191.0,Europe
2018,192,10621.4,814.37,Cuba,CUB,192.0,North America
2018,196,7462366.84,116016.292,Cyprus,CYP,196.0,Asia
2018,203,461725835.0,18083485.553,Czechia,CZE,203.0,Europe
2018,204,84353.512,141331.0,Benin,BEN,204.0,Africa
2018,208,243609395.412,8543819.0,Denmark,DNK,208.0,Europe
2018,212,822.591,135.0,Dominica,DMA,212.0,North America
2018,214,24565932.84,4352964.857,Dominican Rep.,DOM,214.0,North America
2018,218,467319.387,35326.106,Ecuador,ECU,218.0,Latin America
2018,222,1625589.75,526309.29,El Salvador,SLV,222.0,North America
2018,231,15196.406,31216.48,Ethiopia,ETH,231.0,Africa
2018,233,43523661.097,0.0,Estonia,EST,233.0,Europe
2018,242,2567858.055,216960.891,Fiji,FJI,242.0,Oceania
