year,code,trade_value_usd,net_weight_kg,country,iso3,iso_numeric,region
2018,4,3411948.8,1289020.89,Afghanistan,AFG,4.0,Asia
2018,8,14181902.062,,Albania,ALB,8.0,Europe
2018,20,26463270.493,586472.45,Andorra,AND,20.0,Europe
2018,24,14093777.3,10281293.788,Angola,AGO,24.0,Africa
2018,28,1815639.81,248188.27,Antigua and Barbuda,ATG,28.0,North America
2018,31,27306899.63,2870212.85,Azerbaijan,AZE,31.0,Asia
2018,32,130284945.44,12828771.948,Argentina,ARG,32.0,Latin America
2018,36,918431922.723,0.0,Australia,AUS,36.0,Oceania
2018,40,462848666.013,24154458.221,Austria,AUT,40.0,Europe
2018,44,10688131.06,608607.94,Bahamas,BHS,44.0,North America
2018,48,56335424.771,3284265.45,Bahrain,BHR,48.0,Asia
2018,50,19865678.062,3370531.547,Bangladesh,BGD,50.0,South Asia
2018,51,15503986.37,1432667.052,Armenia,ARM,51.0,Asia
2018,52,5776218.5,798507.813,Barbados,BRB,52.0,North America
2018,56,1285617861.528,75162201.589,Belgium,BEL,56.0,Europe
2018,60,4130988.9,308525.97,Bermuda,BMU,60.0,North America
2018,64,1336903.213,253330.3,Bhutan,BTN,64.0,Asia
2018,68,32680544.15,2961304.76,Bolivia (Plurinational State of),BOL,68.0,Latin America
2018,70,45883232.96,3149310.29,Bosnia Herzegovina,BIH,70.0,Europe
2018,72,25780883.915,10904449.742,Botswana,BWA,72.0,Africa
2018,76,197532682.0,12083098.08,Brazil,BRA,76.0,Latin America
2018,84,668446.395,158458.118,Belize,BLZ,84.0,North America
2018,90,300017.63,11896.418,Solomon Isds,SLB,90.0,Oceania
2018,96,6772601.084,778992.625,Brunei Darussalam,BRN,96.0,Asia
2018,100,84418051.75,4700125.168,Bulgaria,BGR,100.0,Europe
2018,104,67103308.81,7695224.234,Myanmar,MMR,104.0,SE Asia
2018,108,3846022.702,,Burundi,BDI,108.0,Africa
2018,112,81019300.0,,Belarus,BLR,112.0,Europe
2018,116,16092932.12,627074.479,Cambodia,KHM,116.0,SE Asia
2018,120,2856092.371,1740467.1,Cameroon,CMR,120.0,Africa
2018,124,1681021735.226,55873265.583,Canada,CAN,124.0,North America
2018,132,1238374.89,414652.0,Cabo Verde,CPV,132.0,Africa
2018,140,86420.0,38348.0,Central African Rep.,CAF,140.0,Africa
2018,152,195079047.151,16623794.824,Chile,CHL,152.0,Latin America
2018,156,9919545698.0,203657486.37,China,CHN,156.0,East Asia
2018,170,121489888.3,10553077.68,Colombia,COL,170.0,Latin America
2018,174,75393.833,63264.0,Comoros,COM,174.0,Africa
2018,178,2641397.469,2485700.022,Congo,COG,178.0,Africa
2018,180,2983510.822,5297597.0,Dem. Rep. of the Congo,COD,180.0,Africa
2018,188,56077029.37,4953178.209,Costa Rica,CRI,188.0,North America
2018,191,147867827.0,7733018.4,Croatia,HRV,191.0,Europe
2018,192,5684567.68,849939.993,Cuba,CUB,192.0,North America
2018,196,60740133.444,2955667.0,Cyprus,CYP,196.0,Asia
2018,203,571261482.0,42575944.721,Czechia,CZE,203.0,Europe
2018,204,3363353.282,3518040.13,Benin,BEN,204.0,Africa
2018,208,323171224.309,13393676.0,Denmark,DNK,208.0,Europe
2018,212,637497.118,111279.0,Dominica,DMA,212.0,North America
2018,214,59534892.485,,Dominican Rep.,DOM,214.0,North America
2018,218,94178927.912,7947025.617,Ecuador,ECU,218.0,Latin America
2018,222,43738492.82,4476372.73,El Salvador,SLV,222.0,North America
2018,231,9152070.073,5629641.072,Ethiopia,ETH,231.0,Africa
2018,233,65791994.92,2116862.208,Estonia,EST,233.0,Europe
2018,242,7034228.48,866857.84,Fiji,FJI,242.0,Oceania
2018,246,135525309.989,5794839.447,Finland,FIN,246.0,Europe
2018,251,1975072761.162,61247031.027,France,FRA,250.0,Europe
2018,258,4482578.692,198888.444,French Polynesia,PYF,258.0,Oceania
2018,266,2107795.238,747663.29,Gabon,GAB,266.0,Africa
2018,268,32325495.34,2162037.382,Georgia,GEO,268.0,Asia
2018,270,163928.592,,Gambia,GMB,270.0,Africa
2018,275,18963559.123,734900.559,State of Palestine,PSE,275.0,Asia
2018,276,2720465731.435,129039112.025,Germany,DEU,276.0,Europe
2018,288,12216090.205,18968636.74,Ghana,GHA,288.0,Africa
2018,296,133827.983,27301.214,Kiribati,KIR,296.0,Oceania
2018,300,227399389.682,13649005.0,Greece,GRC,300.0,Europe
